onet_soc_code,E_j,classification,S,uncertain
11-1011.00,68.3223383409536,Complemented,0.9787999680026586,FALSE
11-1011.03,81.84932722164721,Complemented,0.9999992151180029,FALSE
11-1021.00,77.29460448830176,Complemented,0.9935815343276287,FALSE
11-2011.00,75.03250354701407,Complemented,0.9822534643101146,FALSE
11-2021.00,78.08018661612482,Complemented,0.9845848977540763,FALSE
11-2022.00,74.86388012618295,Complemented,0.9791197683960562,FALSE
11-2033.00,75.03724736930016,Complemented,0.981699345292425,FALSE
11-3012.00,76.17681258549932,Complemented,0.9985014382137403,FALSE
11-3013.00,73.8794622160408,Complemented,0.9989815471880598,FALSE
11-3013.01,74.59437427214907,Complemented,0.999999501912058,FALSE
11-3021.00,77.44653799019606,Complemented,0.9999768056040329,FALSE
11-3031.00,79.68514612835192,Complemented,0.9685148578937431,FALSE
11-3031.01,79.47839540280691,Complemented,0.9682759807721779,FALSE
11-3031.03,83.49518161601186,Complemented,0.9851435811906161,FALSE
11-3051.00,78.82754316621595,Complemented,0.9778848477139248,FALSE
11-3051.01,80.41145734372034,Complemented,0.987971511466297,FALSE
11-3051.02,74.83182425411904,Complemented,0.9993250277200951,FALSE
11-3051.03,72.46355633802818,Complemented,0.9918385229267288,FALSE
11-3051.04,75.68845524017468,Complemented,0.9834564747426919,FALSE
11-3051.06,73.9603752450294,Complemented,0.9993114223302293,FALSE
11-3061.00,79.4812834224599,Complemented,0.9379246835048461,FALSE
11-3071.00,80.1045392022008,Complemented,0.9566009680641289,FALSE
11-3071.04,82.92162087659652,Complemented,0.9479784321086027,FALSE
11-3111.00,78.42275659824047,Complemented,0.9858954853919006,FALSE
11-3121.00,75.90714578214579,Complemented,0.9882779409362578,FALSE
11-3131.00,77.98758939840135,Complemented,0.9999999699330352,FALSE
11-9013.00,73.68657683337653,Complemented,0.9926051841143192,FALSE
11-9021.00,72.98652570480931,Complemented,0.9999831663357442,FALSE
11-9031.00,71.12563641808926,Complemented,0.9757926491931596,FALSE
11-9032.00,68.67603705195326,Complemented,0.9683345672278034,FALSE
11-9033.00,70.09896824601823,Complemented,0.9708335617725999,FALSE
11-9041.00,77.01148159798682,Complemented,0.9999999999999998,FALSE
11-9041.01,79.59752661239824,Complemented,0.9992659768764736,FALSE
11-9051.00,68.77812954564904,Complemented,0.966124666901388,FALSE
11-9071.00,78.99047501237013,Complemented,0.8954006676523519,FALSE
11-9072.00,64.5305281741945,Complemented,0.973410513860348,FALSE
11-9081.00,71.19505079971836,Complemented,0.9751604593959482,FALSE
11-9111.00,75.58996926515786,Complemented,0.9814910168048435,FALSE
11-9121.00,76.3758234519104,Complemented,0.9999999896864327,FALSE
11-9121.01,74.65674053554942,Complemented,0.9938170262516942,FALSE
11-9121.02,79.5630263515349,Complemented,0.9956371423473394,FALSE
11-9131.00,74.06654240447344,Complemented,0.8936475121067272,FALSE
11-9141.00,71.5444289044289,Complemented,0.9758970652485831,FALSE
11-9151.00,72.44549082202714,Complemented,0.999206318115787,FALSE
11-9161.00,71.23266042629977,Complemented,0.9896772833781529,FALSE
11-9171.00,64.9205551305868,Complemented,0.9584751953822839,FALSE
11-9179.01,71.16770118697593,Complemented,0.9401373232280453,FALSE
11-9179.02,74.09847159024618,Complemented,0.9282959868675014,FALSE
11-9199.01,80.23302365673787,Complemented,0.9991251582961229,FALSE
11-9199.02,80.41627379081544,Complemented,0.9979739937432717,FALSE
11-9199.08,74.63089668615983,Complemented,0.9639914609514946,FALSE
11-9199.09,75.76745645692768,Complemented,0.9738995098602985,FALSE
11-9199.10,80.44131876007886,Complemented,0.9991978989446136,FALSE
11-9199.11,77.64048991354467,Complemented,0.9994780625246997,FALSE
13-1011.00,75.51842610364685,Complemented,0.9561748582296987,FALSE
13-1021.00,77.06485875706215,Complemented,0.929103677991095,FALSE
13-1022.00,77.79843880680234,Complemented,0.9397576013686182,FALSE
13-1023.00,79.15048999865755,Complemented,0.8947495931739176,FALSE
13-1031.00,80.35480794242606,Complemented,0.9100768886973113,FALSE
13-1032.00,80.47741935483872,Complemented,0.8745788065111888,FALSE
13-1041.00,77.20027037466203,Complemented,0.8786149374642015,FALSE
13-1041.01,76.07977069568595,Complemented,0.9669037451366052,FALSE
13-1041.03,75.22567826801864,Complemented,0.9848788357287626,FALSE
13-1041.04,69.50131291028445,Complemented,0.960725972283779,FALSE
13-1041.06,63.012084921066965,Complemented,0.9787492349954612,FALSE
13-1041.07,82.9448100377292,Complemented,0.97852938265998,FALSE
13-1041.08,81.70451810524014,Substituted,0.8907603218336496,FALSE
13-1051.00,81.96769429573564,Complemented,0.9356398251519903,FALSE
13-1071.00,80.40279878971255,Complemented,0.8992735676289209,FALSE
13-1074.00,47.19229469415343,Complemented,0.9473338497038929,FALSE
13-1075.00,76.33291040406012,Complemented,0.9811768955954868,FALSE
13-1081.00,78.84693511769626,Complemented,0.998943857627433,FALSE
13-1081.01,84.71820541342234,Complemented,0.9476336958767786,FALSE
13-1081.02,85.93820706205001,Substituted,0.8555486352465956,FALSE
13-1111.00,79.83456051541647,Complemented,0.949401104345138,FALSE
13-1121.00,75.61169252977264,Complemented,0.9675095319131252,FALSE
13-1131.00,78.03402771231974,Complemented,0.9425319147907948,FALSE
13-1141.00,79.18811225840616,Complemented,0.9724034927955351,FALSE
13-1151.00,77.98897535667965,Complemented,0.9669319352915035,FALSE
13-1161.00,84.21821338992862,Complemented,0.9045462940747724,FALSE
13-1161.01,83.53231158160848,Complemented,0.9595806032957277,FALSE
13-1199.04,81.50885422774715,Complemented,0.9861672025599602,FALSE
13-1199.05,83.94206408345752,Complemented,0.9750883842483862,FALSE
13-1199.06,83.48541883648265,Substituted,0.9222256017474699,FALSE
13-1199.07,75.73797659056672,Complemented,0.985061770279656,FALSE
13-2011.00,84.67576429742503,Complemented,0.8953356167610286,FALSE
13-2022.00,78.82505792783846,Complemented,0.9042510516260011,FALSE
13-2023.00,82.160518444666,Substituted,0.8733784026715727,FALSE
13-2031.00,82.38406359053894,Complemented,0.88625381285566,FALSE
13-2041.00,86.04743790557171,Substituted,0.8780449970801532,FALSE
13-2052.00,81.80345170101813,Complemented,0.9717060887419955,FALSE
13-2053.00,86.57828454731107,Substituted,0.8726122110181297,FALSE
13-2061.00,79.84674271990392,Complemented,0.9633710045915701,FALSE
13-2071.00,82.39507537688445,Complemented,0.9476899738425005,FALSE
13-2072.00,82.1340707964602,Complemented,0.9082106483894815,FALSE
13-2081.00,80.61978990172823,Complemented,0.9132705963474034,FALSE
13-2082.00,86.64551882285495,Substituted,0.880300195498108,FALSE
13-2099.01,85.01358381502892,Complemented,0.9716688170993987,FALSE
13-2099.04,74.73311996696265,Complemented,0.968766701458703,FALSE
15-1211.00,80.95550930141799,Complemented,0.985501568356963,FALSE
15-1211.01,80.73729314420801,Complemented,0.9999999691980589,FALSE
15-1212.00,79.37601078167114,Complemented,0.9718167104269135,FALSE
15-1221.00,74.80530463194309,Complemented,0.9954735015788282,FALSE
15-1231.00,79.76147067760557,Complemented,0.9385135851570533,FALSE
15-1232.00,76.83120158529994,Complemented,0.9433971795632012,FALSE
15-1241.00,80.21236627074386,Complemented,0.9784782619177987,FALSE
15-1241.01,79.04019100676483,Complemented,0.934297204056348,FALSE
15-1242.00,80.64015151515149,Complemented,0.9980465563390312,FALSE
15-1243.00,82.13078385801816,Complemented,0.9891615541776516,FALSE
15-1243.01,84.8597887425843,Complemented,0.9454359334486088,FALSE
15-1244.00,79.17508747375787,Complemented,0.9258927474416232,FALSE
15-1251.00,84.36809616634177,Complemented,0.9296070924641741,FALSE
15-1252.00,80.95809963708349,Complemented,0.9457094317315278,FALSE
15-1253.00,82.40469235842833,Complemented,0.9003906615927683,FALSE
15-1254.00,83.02121583027336,Complemented,0.9228905891644543,FALSE
15-1255.01,77.83836138456653,Complemented,0.9999999725535518,FALSE
15-1299.01,81.34198182351217,Complemented,0.9670318047778189,FALSE
15-1299.02,83.0974410436528,Complemented,0.9621278231436519,FALSE
15-1299.03,81.36830762250455,Complemented,0.9778850790169517,FALSE
15-1299.05,83.56862989767909,Complemented,0.9993691859044288,FALSE
15-1299.08,82.95196464597942,Complemented,0.9879046575870127,FALSE
15-1299.09,79.10310004697043,Complemented,0.9988502670173897,FALSE
15-2011.00,81.21055597295266,Complemented,0.92869204120895,FALSE
15-2021.00,81.55672360928601,Complemented,0.9743353581319433,FALSE
15-2031.00,83.01320272572403,Complemented,0.9836768403036532,FALSE
15-2041.00,85.25670103092781,Complemented,0.9653111131948184,FALSE
15-2041.01,84.22957902140058,Complemented,0.9638207229199557,FALSE
15-2051.01,84.21667191931927,Complemented,0.959880707967999,FALSE
15-2051.02,81.97943805874839,Complemented,0.9243689929585317,FALSE
15-2099.01,81.16836141778036,Complemented,0.9837638735396718,FALSE
17-1011.00,78.94877803816539,Complemented,0.9908245516076472,FALSE
17-1012.00,76.68476961890849,Complemented,0.9986371284609636,FALSE
17-1021.00,84.72527472527473,Substituted,0.8275092394997955,FALSE
17-1022.00,77.54796933278078,Complemented,0.9499673037989663,FALSE
17-1022.01,82.13304137722743,Complemented,0.9029974873373835,FALSE
17-2011.00,81.94927536231882,Complemented,0.981190736030191,FALSE
17-2021.00,72.76171643266758,Complemented,0.99401782588084,FALSE
17-2031.00,80.33622497616781,Complemented,0.9893485926047166,FALSE
17-2041.00,81.99218902558093,Complemented,0.9754842394256844,FALSE
17-2051.00,80.00191437521757,Complemented,0.978969038475835,FALSE
17-2051.01,80.7160416010085,Complemented,0.9876913135232377,FALSE
17-2051.02,80.63838095238096,Complemented,0.9906378509371226,FALSE
17-2061.00,80.33619763694952,Complemented,0.9834674236903894,FALSE
17-2071.00,79.24733876017534,Complemented,0.9943925296673685,FALSE
17-2072.00,79.12114405510633,Complemented,0.9989105100883374,FALSE
17-2072.01,77.08245858100418,Complemented,0.9865431555567317,FALSE
17-2081.00,77.97539026629937,Complemented,0.9952241713999552,FALSE
17-2111.00,76.54580430487677,Complemented,0.9899724875347905,FALSE
17-2111.02,75.2297832233742,Complemented,0.9946134266348718,FALSE
17-2112.00,82.53754773016549,Complemented,0.9552551892681678,FALSE
17-2112.01,76.11171792660723,Complemented,0.9881858561393548,FALSE
17-2112.02,75.86911964440053,Complemented,0.9946336142119852,FALSE
17-2112.03,80.82690349587057,Complemented,0.9860140488139497,FALSE
17-2121.00,77.95888743210344,Complemented,0.9858889675131781,FALSE
17-2131.00,77.80406001765223,Complemented,0.988397974054666,FALSE
17-2141.00,79.34672304439746,Complemented,0.9861126443267131,FALSE
17-2141.01,78.76433121019109,Complemented,0.9775028729224713,FALSE
17-2141.02,81.40017295427525,Complemented,0.9995378118460531,FALSE
17-2151.00,78.30943171675094,Complemented,0.9826058068401101,FALSE
17-2161.00,78.76091422701592,Complemented,0.9999999816009046,FALSE
17-2171.00,78.6998722860792,Complemented,0.9850053777676534,FALSE
17-2199.03,80.77521062037276,Complemented,0.9831171197132319,FALSE
17-2199.05,79.55363822855075,Complemented,0.9999999843393053,FALSE
